name,nationality,sport
Pernilla Wiberg,Sweden,Alpine skier
Derek Parra,Mali,Speed skater
Diederik Simon,United States,Dutch rower
Diego Simeone,Argentina,Argentine footballer and manager
Rubén Michavila,,Water polo player
Ruslana Taran,,Sailor
Michał Śliwiński,Poland,Polish canoeist
Miguel Caldés Luis,,Olympic baseball player
Mike Modano,United States,American ice hockey player
Mike Wolfs,Canada,Canadian sailor
Mirosław Waligóra,Poland,Polish footballer
Tony Amonte,United States,American ice hockey player
Tore Brovold,,Sport shooter
Tosha Tsang,Canada,Olympic Rower
Uschi Disl,Germany,German biathlete
Sergey Lishtvan,,Olympic wrestler
Sergey Shupletsov,,Freestyle skier
Silke Kraushaar-Pielach,Germany,Luger
Silvia Poll,Nicaragua,Swimmer
Simone Thomaschinski,,Field hockey player
Stefan Lövgren,Sweden,Handball player
Steve Anderhub,,Bobsledder
Haruka Saito,,Olympic softball player
Heike Friedrich,Germany,Swimmer
Henriette Henriksen,,Handball player
Kjell Storelid,,Speed skater
Kjetil Undset,,Rower
Konstantin Ushakov,,Volleyball player
Laura Badea-Cârlescu,Romania,Fencer
Laura Schuler,Canada,Ice hockey player
Laurel Korholz,,Olympic medalist and coach in rowing
Lee Bodimeade,,Field hockey player and coach
Marc Huster,Germany,German weightlifter
Marco Rudolph,,Boxer
Marek Bajor,Poland,Polish footballer
Maria Păduraru,,Rower
Marie Lindgren,,Freestyle skier
Mark Dragunski,,Handball player
Mark Kirchner,Germany,German biathlete
Marko Asell,,Olympic wrestler
Jason Gailes,,Olympic medalist in rowing
Jaume Amat,,Field hockey player
Dwayne Norris,Canada,Ice hockey player
Eden Donatelli,United States,Canadian speed skater
Elfi Eder,Alps,Alpine skier
Elien Meijer,,Rower
John Forbes (sailor),,Sailor
Barbara Wolnicka-Szewczyk,Poland,Fencer
Anikó Nagy,,Handball player
Annett Neumann,Germany,German racing cyclist
Ardy Wiranata,,Badminton player
Arijan Komazec,Yugoslavia,Basketball player
Artem Khadjibekov,,Sport shooter
Oktay Urkal,Germany,Boxer
Oleg Ovsyannikov,United States,Russian ice dancer
Olena Ronzhyna,Ukraine,Ukrainian rower
Olga Danilova,,Cross-country skier
Olga Kuzenkova,,Athletics (sport) competitor
Olimpiada Ivanova,,Olympic race walker
Olivier Moncelet,France,Rower
Pai Kun-Hong,,Baseball player
Pasquale Gravina,Italy,Volleyball player
Rafael Lozano,Spain,Boxer
Rajyavardhan Singh Rathore,,Sport shooter
Renato Vrbičić,,Water polo player
Ricco Groß,Germany,German biathlete
Peter Schlickenrieder,,Cross-country skier
Pierre Lueders,Canada,bobsledder
Piet Norval,South Africa,South African tennis player
Predrag Danilović,Yugoslavia,Professional basketball player
Alan Gregov,Croatia,Croatian basketball player
Aleksander Kłak,Poland,Polish footballer
Aleksandr Beketov,Russia,Fencer
Alessandra Sensini,Italy,Sailor
Alexei Zhamnov,Soviet Union,Russian ice hockey player
Rintje Ritsma,Netherlands,Speed skater
Susann Goksør Bjerkrheim,,Handball player
Sylvain Gagnon,,Short track speed skater
Szilveszter Csollány,,Gymnast
Takanobu Okabe,Japan,Japanese ski jumper
Takao Kuwamoto,Japan,Olympic baseball player
Teemu Selänne,Finland,Finnish ice hockey player
Dariusz Koseła,Poland,Polish footballer
Dariusz Szubert,Poland,Polish footballer
David Defiagbon,Nigeria,Boxer
Gianfranco Martin,Alps,Alpine skier
Gil Young-ah,,female badminton player from South Korea
Giovanna Trillini,Italy,Fencer
Giovanni Pellielo,,Sport shooter
Mona Dahle,,Handball player
Moses Kiptanui,,Athletics (sport) competitor
Natalia Mishkutenok,Belarus,Figure skater
Beverly McDonald,,Athletics (sport) competitor
Bill Guerin,South Africa,American ice hockey player
Brigita Bukovec,,Athletics (sport) competitor
Vicky Sunohara,Canada,Ice hockey player
Viktor Jelenić,,Water polo player
Vladimir Pyshnenko,Russia,Swimmer
Wang Lihong (softball),,Softball player
Jeff Rouse,United States,American swimmer Olympic gold medalist former world record-holder
Jeremy Roenick,United States,American ice hockey player
Alison Korn,United States,Rower
Allain Roy,Canada,Canadian ice hockey goaltender
Andrea Giani,,Volleyball player
Andreas Wecker,Germany,Gymnast
Andrei Kovalenko,Soviet Union,Ice hockey player
Andrzej Juskowiak,Poland,Polish footballer
Andrzej Kobylański,Poland,Polish footballer
Leontien van Moorsel,Netherlands,Dutch racing cyclist
Li Duihong,,Sport shooter
Li Jing (gymnast),,Gymnast
Faissal Ebnoutalib,,Taekwondo practitioner
Matt Lindland,United States,Olympic wrestler mixed martial artist and politician
Melanie Roche,,Softball player
Nicola Fairbrother,United Kingdom,Judoka
Nikolaj Pešalov,Croatia,Croatian weightlifter of Bulgarian descent
Noriko Yamaji,Japan,Japanese softball player
Huang Xiaomin,,Swimmer
Ian Walker (sailor),,Sailor
Igor Skalin,,Sailor
Ihor Razoronov,,Weightlifter
Ildikó Pádár,Hungary,Hungarian handball player
Chen Hong (softball),,Softball player
Chen Yufeng,,Association football player
Claudinei da Silva,,Athletics (sport) competitor
Abraham Olano,Spain,Racing cyclist
Adiel Palma,,Baseball player
Adrien Plavsic,Canada,Canadian ice hockey defenceman
Camelia Voinea,Romania,Gymnast
Caren Jungjohann,,Field hockey player
Cari Read,,Synchronized swimmer
Carin ter Beek,,Rower
Celestina Popa,Romania,Gymnast
Wayne McCullough,Ireland,Boxer
Crawford Palmer,,Basketball player
Crissy Ahmann-Leighton,United States,American swimmer Olympic gold medalist
Dag Bjørndalen,Norway,Norwegian biathlete
Dagmar Kersten,,Former gymnast
Dan Ratushny,Canada,Ice Hockey Player
Jordi Arnau,,Field hockey player
José Antonio Escuredo,Spain,Track cyclist
Karsten Finger,,Rower
Kim Mi-Sim,,Handball player
Žan Tabak,Yugoslavia,Croatian basketball player
Ingo Borkowski,,Sailor
Isabelle Charest,,Short-track speed skater
Islam Bairamukov,,Olympic wrestler
Iulica Ruican,,Rower
Iván Trevejo,Cuba,Fencer
Jaime Fernandez (rower),,Rower
Elvis Gregory,Cuba,Fencer
Emma Robinson (rower),Montreal,Rower
Erik Jazet,,Field hockey player
Eugenia Golea,Romania,Gymnast
Thomas Prugger,Italy,Italian snowboarder 1998 Olympic silver in Giant Slalom
Todd Woodbridge,Australia,Australian tennis player
Luzia Ebnöther,,Curler
Greg Johnson (ice hockey),Canada,Ice hockey player
Gregory Corbitt,,Field hockey player
Grzegorz Mielcarski,Poland,Polish footballer
Guivi Sissaouri,,Olympic wrestler
Wilma van Hofwegen,,Swimmer
Yelena Tyurina,,Volleyball player
Yeo Hong-Chul,South Korea,Korean gymnast
Zé Marco de Melo,Brazil,Volleyball player
Zdeslav Vrdoljak,,Water polo player
Gábor Horváth (kayaker),Hungary,Hungarian canoe racer
Pavel Bure,Soviet Union,Russian professional ice hockey player
Pavel Rostovtsev,Russia,Russian biathlete
Peter Hoeltzenbein,Germany,Rower
Dennis Hall,United States,Olympic wrestler
Diana van der Plaats,Netherlands,Swimmer
Dmitri Svatkovskiy,Russia,Pentathlete
Dmitri Yushkevich,Soviet Union,Russian ice hockey player
Doug Weight,United States,American ice hockey player
Rolando Meriño,,Baseball player
Ryszard Staniek,Poland,Polish footballer
Sébastien Foucras,,Freestyle skier
Sébastien Godefroid,,Olympic sailor
Misako Ando,,Olympic softball player
Tomas Sivertsson,,Handball player
Tomasz Wałdoch,Poland,Polish footballer
Tomasz Wieszczycki,Poland,Polish footballer
Tonje Sagstuen,,Handball player
Tripp Schwenk,United States,American swimmer Olympic gold medalist former world record-holder
Sergey Klevchenya,,Speed skater
Sergi Bruguera,Venezuela,Spanish tennis [player]
Hans Knauß,Alps,Alpine skier
Kjetil André Aamodt,Norway,Norwegian Alpine skier
Kristine Lilly,United States,Soccer player
Krisztián Kulcsár,Hungary,Fencer
Lasse Kjus,Norway,Alpine skier
Laura Chiesa,Italy,Fencer
Laura Flessel-Colovic,Guadeloupe,Fencer
Marcin Jałocha,Poland,Polish footballer
Marek Koźmiński,Poland,Polish footballer
Mari Holden,United States,American racing cyclist
Mark Grimmette,United States,American luger
Markus Baur,,Handball player
Markus Nüssli,,Bobsledder
Maro Balić,,Water polo player
Jair Lynch,United States,Gymnast
Jan Hempel,,Diver
Janel Jorgensen,United States,American swimmer Olympic silver medalist
Janet Evans,United States,American swimmer Olympic gold medalist world champion world record-holder
Jari Mantila,Finland,Finnish Nordic combined skier
Du'aine Ladejo,,Athletics (sport) competitor
Edward Murphy (rower),United States,Olympic medalist in rowing
John Merricks,United Kingdom,Sailor
Juan Marén,,Olympic wrestler
Julie Foudy,United States,Association football player
Jung Sun-Yong,,Judoka
Ann-Elen Skjelbreid,Norway,Norwegian biathlete
Anneke Venema,,Rower
Annelise Coberger,Alps,Alpine skier
Antoaneta Frenkeva,Bulgaria,Bulgarian swimmer
Antoine Rigaudeau,,Basketball player
Arantxa Sánchez Vicario,Venezuela,Tennis player
Arjen Teeuwissen,,Equestrian
Odd-Bjørn Hjelmeset,Norway,Cross-country skier
Oleg Shevtsov,Soviet Union,Russian ice hockey player
Orhan Delibaş,,Boxer
Osmond Ezinwa,Nigeria,Nigerian sprinter
Ou Jingbai,,Softball player
Rafał Szukała,Poland,Swimmer
Ralf Bißdorf,Germany,Fencer
Ramón Sala,,Field hockey player
Ricardo Sánchez (water polo),,Water polo player
Petr Nedvěd,Czechoslovakia,Canadian ice hockey player
Picabo Street,United States,Alpine skier
Alexander Popov (swimmer),Soviet Union,Russian swimmer
Alfred Ter-Mkrtychyan,Armenia,Olympic wrestler
Robert Merrick,,Sailor
Sven Fischer,Germany,German biathlete
Tan Zongliang,,Sport shooter
Daniel Petrov,Bulgaria,Boxer
Daniela Baumer,,Canoe racer
Darren Bundock,,Sailor
David Harlock,Canada,Canadian ice hockey defenceman
David Weightman (rower),,Rower
Davidson Ezinwa,Nigeria,Nigerian sprinter
Namig Abdullayev,Azerbaijan,Wrestler
Natalia Ivanova (taekwondo),,Taekwondo practitioner
Beth Barr,United States,American swimmer Olympic silver medalist
Bjarte Engen Vik,Norway,Norwegian nordic combined skier
Brian Savage,Canada,Ice hockey player
Briana Scurry,,Soccer player
Brigitte Guibal,,Canoe racer
Bruno Prada,,Sailor
Vladimir Selkov,Russia,Swimmer
Vladislav Kulikov,Russia,Swimmer
Jerzy Brzęczek,Poland,Polish footballer
Amy Peterson,,Short track speed skater
An Zhongxin,,Softball player
Andrea Sartoretti,,Volleyball player
Andrus Veerpalu,Estonia,Cross-country skier
Leonidas Sabanis,Albania,Weightlifter
Lim O-Kyeong,,Handball player
Lin Qisheng,China,Olympic weightlifter of China
Fatima Yusuf,Nigeria,Nigerian sprinter
Filip Meirhaeghe,Belgium,cyclist
Martin Frändesjö,,Handball player
Marty Nothstein,United States,American racing cyclist
Masahiro Nojima,Japan,Olympic baseball player
Mathias Franzén,,Handball player
Nelleke Penninx,,Rower
Nicole Livingstone,Australia,Swimmer
Norge Luis Vera,,Baseball player
Noriko Mizoguchi,,Judoka
Huang Wen-Po,,Baseball player
Ilya Savelev,,Volleyball player
Chris Therien,Canada,Ice hockey player
Sammie Henson,,Olympic wrestler
Cammi Granato,United States,Ice hockey player
Carlos Espínola (sailor),Argentina,Argentine sailor and windsurfer
Carlos Gamarra,Paraguay,footballer
Cath Bishop,United Kingdom,Rower
Chandra Sturrup,,Athletics (sport) competitor
Wayne Ferreira,South Africa,South African tennis player
Wei Haiying,,Association football player
Whitney Hedgepeth,United States,All-American college swimmer international swimmer Olympic gold medalist
Colin von Ettingshausen,Germany,Rower
Constanţa Burcică,,Rower
Cornelia Pfohl,Germany,Archer
Craig MacLean,,Olympic track cyclist
Damiano Pippi,,Volleyball player
Damon Diletti,,Field hockey player
Jorgelina Rimoldi,,Field hockey player
José Cardozo,Paraguay,footballer
José Contreras,Cuba,Baseball player
Karina Masotta,,Field hockey player
Katrin Kauschke,Germany,Field hockey player
Kent Manderville,Canada,Canadian ice hockey player
Kim Soo-Nyung,,Archer
Ådne Søndrål,Norway,Norwegian speed skater
Iztok Čop,,Rower
Elvis Stojko,United Kingdom,figure skater
Erin Woodley,Canada,Canadian synchronised swimmer
Thomas Alsgaard,,Cross-country skier
Tiffeny Milbrett,United States,American soccer player
Luigi Tarantino,,Fencer
Ma Ying,,Softball player
Macha van der Vaart,,Field hockey player
Makan Dioumassi,France,Basketball player
Greg Burgess,United States,All-American college swimmer Olympic silver medalist U.S. Marine Corps officer
Gustavo Borges,Brazil,Swimmer
Wilson Kipketer,Kenya,Kenyan and Danish middle distance runner
Wojciech Kowalczyk,Poland,Polish footballer
Yang Wenyi,China,Chinese swimmer
Yann Bonato,France,Basketball player
Yasuyuki Saigo,Japan,Olympic baseball player
Yobal Dueñas,,Baseball player
Yukimasa Nakamura,,Judoka
Yumiko Fujii,,Softball player
Zhang Xiangsen,China,Chinese weightlifter
Zhang Yanmei,China,Chinese speed skater
Zhao Lihong,China,Chinese footballer
Zhuang Yong,China,Chinese swimmer
Frode Estil,Norway,Cross-country skier
Galina Koukleva,Russia,Russian biathlete
Dimitra Asilian,,Water polo player
Rodion Luka,,Sailor
Rodolfo Falcón,Cuba,Swimmer
Rossano Galtarossa,Italy,Italian sculler Olympic gold 2000 quad sculls
Ruth Ogbeifo,,Weightlifter
Sébastien Amiez,Alps,Alpine skier
Mia Hamm,United States,American soccer player
Mike Dunham,United States,American ice hockey goaltender
Milton Wynants,Uruguay,Uruguayan racing cyclist
Miriam Oremans,Netherlands,Dutch tennis player
Tontcho Tontchev,Bulgaria,Boxer
Trevor Kidd,Canada,Ice hockey player
Trisha Fallon,,Basketball player
Tully Bevilaqua,Australia,Basketball player
Ulrich Viefers,Germany,Olympic rower
Urbia Melendez,,Taekwondo practitioner
Shane Kelly,Australia,Track bicycle racer
Shelley Looney,United States,Ice hockey player
Shiori Koseki,,Olympic softball player
Stéphane Risacher,,Basketball player
Stanislav Lopukhov,Russia,Swimmer
Steffi Nerius,Germany,German javelin thrower
Stephan Vuckovic,,Triathlete
He Liping,,Softball player
Hendrawan,Indonesia,Badminton player
Kjersti Plätzer,Olympia,Olympian race walker
Léon van Bon,Netherlands,Racing cyclist
Larisa Kruglova,,Athletics (sport) competitor
Marc Weber (rower),,Rower
Margit Pörtner,,Curler
Maria Maunder,,Rower
Marianne Limpert,Canada,Swimmer
Mark Richardson (athlete),United Kingdom,British athlete
Jaouad Gharib,,Athletics (sport) competitor
Jari Lipponen,,Archer
Eduardo Paret,,Baseball player
Ekaterina Karsten,,Rower
John Godina,,Athletics (sport) competitor
Josh Davis (swimmer),United States,American swimmer Olympic gold medalist
Julie Ertel,,Water polo player
Karen Clark (swimmer),,Synchronized swimmer
Aurelia Dobre,Romania,Gymnast
Bang Soo-hyun,South Korea,female South Korean badminton player
Anke Baier,,Speed skater
Anna van der Kamp,,Rower
Anthony Edwards (rower),,Rower
Armen Bagdasarov,Uzbekistan,Judoka
Oh Kyo-Moon,,Archer
Olena Petrova,Belarus,Belarusian biathlete
Olga Nikolaeva,,Volleyball player
Ratko Štritof,,Water polo player
Peter Sendel,Germany,German biathlete
Petteri Nummelin,Finland,Finish ice hockey player
Pieta van Dishoeck,,Rower
Piotr Świerczewski,Poland,Professional footballer
Aleksey Medvedev (wrestler),Belarus,Olympic wrestler
Alexei Zhitnik,Soviet Union,Russian ice hockey player
Richard Chelimo,Kenya,Olympic long-distance runner
Rita Deli,Hungary,Hungarian handball player and coach
Sue Merz,United States,Ice hockey player
Summer Sanders,United States,American swimmer Olympic gold medalist actress television reporter
Susanne Müller,,Field hockey player
Takayuki Takabayashi,Japan,Olympic baseball player
Takeo Kawamura (baseball),Japan,Baseball player
Tanya Frei,,Curler
Tanya Harding,,Softball player
Tao Hua,,Softball player
Evgeni Mitkov,,Volleyball player
Daniela Hunger,Germany,Swimmer
Danny McFarlane,Jamaica,Athletics (sport) competitor
Darcie Dohnal,,Short-track speed skater
Darius Kasparaitis,Soviet Union,Ice hockey player
Gianmarco Pozzecco,Italy,Basketball player
Gina Miles,United States,Equestrian
Giorgio Di Centa,Italy,Italian cross-country skier
Missy Schwen-Ryan,United States,Olympic medalists in rowing
Moustapha Sonko,,Basketball player
Nadia Röthlisberger-Raspe,,Curler
Natalya Sadova,Russia,Russian discus thrower
Bente Skari,Norway,Cross-country skier
Bertrand Vecten,,Rower
Boris Mironov,Soviet Union,Ice hockey player
Brett Hayman,,Rower
Viorel Talapan,,Rower
Vladimir Dubrovshchik,Belarus,Belarusian discus thrower
Jeff Williams (baseball),Australia,Baseball player
Allison Tranquilli,,Basketball player
Anabel Gambero,,Field hockey player
Anastasia Kelesidou,,Athletics (sport) competitor
Andraž Vehovar,Slovenia,Canoe racer
Andreas Dittmer,Germany,Olympic gold medalist canoeist
Andreas Schlütter,,Cross-country skier
Leobaldo Pereira,,Canoe racer
Li Qing (diver),China,Diver
Lianne Nelson,United States,Olympic medalists in rowing
Liu Yaju,,Softball player
Lori Dupuis,Canada,Ice hockey player
Fan Yunjie,,Association footballer
Frédéric Blackburn,,Short-track speed skater
Nick Porzig,,Rower
Nicolas Gill,Montreal,Judoka
Nikolai Maksimov,United States,Water polo player
Nikolay Kozlov,,Water polo player
Norbert Rózsa,Hungary,Swimmer
Norberto Téllez,,Athletics (sport) competitor
Noriaki Kasai,Japan,Japanese ski jumper
Noriko Narazaki,,Judoka
Hermann Maier,Austria,Austrian Alpine skier
Huang Huadong,,Olympic gymnast
Igor Shulepov,,Volleyball player
Ilya Markov,,Athletics (sport) competitor
Inessa Korkmaz,Soviet Union,Volleyball player
Cheng Hui,,Field hockey player
Cho Eun-Hee,,Handball player
Chris Bailey (ice hockey),United States,American ice hockey player
Christine Boudrias,,Short-track speed skater
Chun Wei Cheung,,Rower
Clara Hughes,Canada,Speed skater
Claudiu Marin,,Rower
Samantha Riley,Australia,Swimmer
Ageeth Boomgaardt,,Field hockey player
Cameron Baerg,,Rower
Carlo Mornati,Italy,Rower
Catherine Ndereba,Kenya,Kenyan marathon runner and Olympic medalist
Charity Opara,Nigeria,Nigerian sprinter
Wei Qiang,,Softball player
Clint Robinson,,Canoe racer
Conchita Martínez,Spain,Tennis player
Corey Hirsch,Canada,Ice hockey player
Cristian Zorzi,Italy,Italian cross country skier
Daima Beltrán,,Judoka
Dan Burincă,Romania,Gymnast
Keith Tkachuk,United States,American ice hockey player
Édson Ribeiro,,Athletics (sport) competitor
Željko Rebrača,Yugoslavia,Basketball player
Irina Lashko,,Diver
Irina Lobacheva,Russia,Russian ice dancer
Eric Lindros,Canada,retired professional ice hockey player who played 13 seasons in the National Hockey League
Erick Wainaina,Kenya,Kenyan athlete
Luis Miguel Rodríguez (baseball),,Baseball player
Lyubov Bruletova,Soviet Union,Judoka
Márcio Araújo,Brazil,Volleyball player
Magdalena Aicega,Argentina,Olympic field hockey player
Guðjón Valur Sigurðsson,Iceland,Handball player
Gunn Margit Andreassen,Norway,Norwegian biathlete
Gustavo Adrián López,Argentina,Argentine footballer
Wilson Boit Kipketer,,Athletics (sport) competitor
Wolfram Huhn,Germany,Olympic rower
Yelizaveta Kozhevnikova,Russia,Freestyle skier
Yoel García,,Athletics (sport) competitor
Yordan Yovchev,Bulgaria,Bulgarian artistic gymnast
Yoshitomo Tani,,Baseball player
Yu Hongqi,China,Chinese footballer
Fredrik Norrena,Finland,Ice hockey player
Frode Andresen,Netherlands,Norwegian biathlete
Gábor Totola,Hungary,Fencer
Gabriel Esparza,,Taekwondo practitioner
Gabriela Potorac,Romania,Former artistic gymnast
Gavin Hassett,,Rower
Gella Vandecaveye,Belgium,judoka
Paul Ratcliffe,United Kingdom,Canoe racer
Pedro Luis Lazo,,Baseball player
Petar Trbojević,Serbia,Water polo player
Dong Jiong,,Badminton player
Dong Zhaozhi,China,Fencer
Rumyana Neykova,,Rower
Michał Staniszewski,Poland,Polish canoeist
Michaela Dorfmeister,Austria,Austrian Alpine skier
Michele Mian,Italy,Italian basketball player
Michelle Brogan,,Basketball player
Mirko Vuillermin,,Short track speed skater
Miroslav Berić,Serbia,Serbian basketball player
Tomasz Sikora,Poland,Polish biathlete
Tracey Mosley,,Softball player
Shane Rose,,Equestrian
Shelda Bede,Brazil,Volleyball player
Simon Hiscocks,Canada,Professional Sailor
Stefan Kretzschmar,Germany,Handball player
Stephanie Graf,Austria,Austrian middle distance runner
Hans Peter Minderhoud,,Equestrian
Heidi Tjugum,,Handball player
Heike Lätzsch,Germany,Field hockey player
Kristie Boogert,Netherlands,Dutch tennis player
Krzysztof Kołomański,Poland,Polish canoeist
Laurent Foirest,France,Basketball player
Laurent Sciarra,France,Basketball player
Manny Legace,Canada,Canadian ice hockey goaltender
María Paz Ferrari,,Field hockey player
Marat Zakirov,Russia,Russian water polo player
Marcelo Delgado,Argentina,Argentine footballer
Marco Meoni,,Volleyball player
Mark Zabel,Germany,German canoeist
Marko Yli-Hannuksela,Finland,Finnish sport wrestler
Marten Eikelboom,,Field hockey player
Jamie Baulch,England,Welsh 400m runner
Jarosław Rodzewicz,Poland,Fencer
Javier Arnau,,Field hockey player
Javier Zanetti,Argentina,Argentine footballer
Driulis González,Cuba,Cuban judoka
Edvinas Krungolcas,Lithuania,Lithuanian modern pentathlete
Eftychia Karagianni,,Water polo player
Egil Gjelland,Norway,Norwegian biathlete
Johan Petersson,,Handball player
Josh Lakatos,,Sport shooter
Jude Monye,Nigeria,Nigerian sprinter
Ato Boldon,Trinidad,Trinidadian Olympic sprinter and politician
Beáta Siti,Hungary,Hungarian handball player
Beat Seitz,,Bobsledder
Anjelika Krylova,United States,Russian ice dancer
Anna Carin Zidek,Sweden,Swedish biathlete
Antti Laaksonen,Finland,Professional hockey player
Armen Mkrtchyan,Armenia,Olympic wrestler
Pablo Paz,Argentina,Argentine footballer
Pascal Touron,,Rower
Revaz Tchomakhidze,,Water polo player
Aleksandr Yeryshov,Russia,Russian waterpolo player
Alexander Vinokourov,Soviet Union,Road bicycle racer
Alexandra Meissnitzer,Austria,Alpine skier
Alexei Yashin,Soviet Union,Russian ice hockey player
Richard Egington,United States,British rower
Rob Hayles,England,English racing cyclist
Robert Scheidt,Brazil,Sailor
Roberto Ayala,Argentina,Argentine footballer
Stuart O'Grady,Australia,Road bicycle racer
Sun Wen (footballer),China,Association football player
Sun Yue (volleyball),,Volleyball player
Susie O'Neill,Australia,Australian swimmer
Svetlana Boginskaya,Belarus,Belarusian gymnast
Tatyana Gracheva,,Volleyball player
Daniel Stephan,,Handball player
Darren Campbell,England,British sprinter
Dejan Bodiroga,Yugoslavia,Basketball player
Dejan Tomašević,Yugoslavia,Serbian basketball player
Gianni Romme,Netherlands,Speed skater
Gillian Lindsay,United Kingdom,Scottish rower
Natalia Vía Dufresne,,Sailor
Natallia Sazanovich,,Athletics (sport) competitor
Natalya Morozova,Russia,Volleyball player
Bill Schuffenhauer,United States,Bobsledder
Bojana Radulović,Yugoslavia,Hungarian handball player
Brendan Kingman,,Baseball player
Brian Rafalski,United States,American ice hockey player
Brian Rolston,United States,American ice hockey player
Britta Becker,,Field hockey player
Cédric Séguin,France,Fencer
Vanina Oneto,,Field hockey player
Viktor Mitrou,Albania,Olympic weightlifter
Ville Peltonen,Finland,Finnish ice hockey player
Virginia Ruano Pascual,Spain,Tennis player
Vladimir Vujasinović,Croatia,Water polo player
Wang Haibin,China,Fencer
Wang Junxia,China,Chinese long distance runner
Wang Liping (footballer),,Association footballer
Wang Manli,,Speed skater
Wang Xiaozhu,China,Chinese archer
Jenny Thompson,United States,American swimmer Olympic gold medalist
Jenny Whittle,Queensland,Basketball player
Jere Lehtinen,Finland,Ice hockey player
Jeroen Delmee,Netherlands,Dutch field hockey player
Jiang Yonghua,China,Chinese racing cyclist
Joël Chenal,France,French Alpine skier
André Lange,Germany,Bobsledder
Leonardo Pettinari (rower),,Rower
Li Dashuang,China,Gymnast
Li Xiaoshuang,China,Gymnast
Lidia Trettel,Italy,Italian snowboarder 2002 Olympic bronze Giant Slalom
Ljubomir Vranjes,,Handball player
Lorraine Fenton,,Athletics (sport) competitor
Fernando Platas,Mexico,Diver
Fiona Smith-Bell,Canada,Canadian ice hockey player
Martijntje Quik,,Rower
Martina Ertl-Renz,Alps,Alpine skier
Matías Almeyda,Argentina,Argentine football player/manager
Maurizio Carnino,,Short-track speed skater
Merlene Frazer,,Athletics (sport) competitor
Nicola Vizzoni,Italy,athletics competitor
Nikola Radulović,Yugoslavia,Croatian-Italian basketball player
Nikolay Kuznetsov (cyclist),Soviet Union,Russian racing cyclist
Nobuhiko Matsunaka,Japan,Baseball player
Hugues Obry,France,Fencer
Ilia Averbukh,Russia,Russian ice dancer
Inge de Bruijn,Netherlands,Swimmer
Chris Newton,England,English racing cyclist
Christian Bassedas,Argentina,Argentine footballer
Christian Ramota,,Handball player
Cláudio Roberto Souza,,Athletics (sport) competitor
Clarinda Sinnige,,Field hockey player
Claudia Bokel,Netherlands,Fencer
Clement Chukwu,Nigeria,Nigerian sprinter
Samuele Papi,,Volleyball player
Sandra Azón,,Sailor
Adrian Aucoin,Canada,Ice hockey player
Carlos Bossio,Argentina,Argentine footballer
Cassie Campbell,United States,ice hockey player
Catherine Scott,,Athletics (sport) competitor
Cathy Freeman,Australia,Australian sprinter
Daniel Ballart,,Water polo player
Jong Yeu-Jeng,,Baseball player
Kateřina Neumannová,Czechoslovakia,Czech cross-country skier and racing cyclist
Kate Howey,,Judoka
Katrin Apel,Germany,German biathlete
Katsuhiko Nagata,,Olympic wrestler
Kieren Perkins,Australia,Swimmer
Kim Yoon-man,,Speed skater
Ágnes Farkas,Hungary,Hungarian handball player
Ólafur Stefánsson,Iceland,Handball player
Iwan Thomas,Wales,Welsh 400m runner
Tim Harden,,Athletics (sport) competitor
Tim Henman,England,British tennis player
Tim Thomas (ice hockey),United States,American ice hockey goaltender
Todd Warriner,Canada,Canadian ice hockey player
Maki Tabata,,Speed skater
Makoto Imaoka,Japan,Baseball player
Gunnar Bahr,,Sailor
Hanka Kupfernagel,Germany,German racing cyclist
Xiong Ni,China,Chinese sport diver
Yelena Miroshina,,Diver
Yoo Yong-sung,,male badminton player from South Korea
Yovany Aragon,,Baseball player
Géza Imre,Hungary,Hungarian Olympic Fencer
Gabi Müller,,Canoe racer
Gary Hall Jr.,United States,American swimmer Olympic gold medalist former world record-holder
Geidar Mamedaliyev,,Olympic wrestler
Paul Kariya,Canada,Ice hockey player
Paul Manning (cyclist),England,English racing cyclist
Paul Palmer (swimmer),England,Swimmer
Denis Pankratov,Russia,Swimmer
Didier Cuche,Switzerland,Alpine skier
Dmitri Sautin,Russia,Diver
Roman Šebrle,,Athletics (sport) competitor
Roman Yegorov,Russia,Russian admiral
Mijntje Donners,,Field hockey player
Toni Tauler,Spain,Racing cyclist
Tor Arne Hetland,,Cross-country skier
Tri Kusharjanto,Indonesia,Badminton player
Tricia Dunn-Luoma,United States,Ice hockey player
Valentina Vezzali,Italy,Fencer
Valeri Bure,Soviet Union,Ice hockey player
Valeri Goryushev,,Volleyball player
Sergei Garbuzov,,Water polo player
Sergei Gonchar,Soviet Union,Ice hockey defenceman
Sergei Krivokrasov,Soviet Union,Ice hockey player
Sergey Sharikov,Russia,Fencer
Shannon MacMillan,,Soccer player
Simon Aspelin,Sweden,Swedish tennis player
Siniša Skelin,,Rower
Stavroula Kozompoli,,Water polo player
Henning Fritz,,Handball player
Henrietta Ónodi,Hungary,Artistic gymnast
Koichi Misawa,Japan,Olympic baseball player
Kristine Duvholt Havnås,,Handball player
Krisztina Egerszegi,Hungary,Swimmer
Larbi Benboudaoud,,Judoka
Lars Frölander,Sweden,Swimmer
Lascelles Brown,Jamaica,Bobsledder
Lawrence Johnson (athlete),Poland,First Black Pole vaulter
Lee Dong-soo,,male badminton player from South Korea
Mansueto Velasco,Myanmar,Boxer
Marc Wright,United States,American pole vaulter
