Name,Nationality,Sport
Nathan Eglington,,Field hockey
Nuria Cabanillas,,Gymnast
Hiroyuki Tomita,Japan,Gymnast
Hisashi Mizutori,Japan,Gymnast
Igor Vori,Croatia,Handball
Christian Bäckman,Sweden,Ice Hockey
Christian Olsson,,Athletics (sport) competitor
Sara Carrigan,Australia,Australian racing cyclist
Sarah Ayton,United Kingdom,Sailor
Sean Burroughs,United States,Baseball player
Abby Wambach,United States,All-American college soccer player professional soccer player Olympic gold medalist
Adam Kreek,,Rower
Carol Huynh,Canada,Olympic wrestler
Wilfred Bungei,Kenya,Athletics (sport) competitor
Curtis Tomasevicz,,Bobsledder
Karoline Dyhre Breivang,Norway,Handball
Katrine Lunde Haraldsen,Norway,Handball
Keiji Suzuki,Japan,Japanese judoka
Kim Chung-tae,,Archer
Kim Nam-Soon,,Archer
Ádám Steinmetz,Hungary,Hungarian water polo player
Érik Boisse,France,Fencer
Jürgen Bähringer,Germany,German footballer
Emil Valtchev,,Volleyball
Ernst Good,Switzerland,Swiss alpine skier
Lynn Colella,United States,American swimmer Olympic silver medalist
Hans-Joachim Fassnacht,,Swimmer
Hans-Otto Schumacher,Germany,Canoe racer
Yaeko Yamazaki,Japan,Volleyball
Zdeněk Škára,,Handball
Pavel Mikeš,,Handball
Dino Meneghin,Italy,Basketball
Roman Vartolomeu,,Canoe racer
Rudolf Marti,,Bobsledder
Milan Kajkl,Czechoslovakia,Ice Hockey
Ulrich Bächli,Switzerland,Bobsledder
Valeriy Dvoynikov,Soviet Union,Judoka
Stefan Junge,Germany,German high jumper
Stefan Krook,,Sailor
Heinrich Fischer,,Rower
Mariya Petkova,,Athletics (sport) competitor
James Butts,United States,American triple jumper
Ed Ratleff,United States,Basketball
Attilio Calatroni,Italy,Fencer
Bärbel Struppert,Germany,German sprinter
Pam Kruse,United States,American swimmer Olympic silver medalist former world record-holder
Reinhold Kauder,,Canoe racer
Albano Pera,,Olympic silver trap shooting
Aleksandr Kornelyuk,Soviet Union,Soviet sprinter
Richard Trinkler,Switzerland,Swiss racing cyclist
Evert Bastet,,Sailor
David Wilkins (sailor),,Sailor
Gheorghe Simionov,,Canoe racer
Gianni De Magistris,Italy,Water polo player
Mohamed Tarabulsi,,Weightlifter
Ben Peterson,United States,Olympic wrestler
Vera Krasnova,,Speed skater
Vitali Eliseev,Azerbaijan,Rower
Jiří Adam,Czech Republic,Fencer
Jiří Bubla,Czechoslovakia,Ice Hockey
Jiří Crha,Czechoslovakia,Ice Hockey
Jiří Novák (ice hockey),,Ice Hockey
Anatoliy Polishchuk,Russia,Volleyball
Andrzej Szarmach,Poland,Polish footballer
Leonard Robertson,United Kingdom,Rower
Lloyd Keaser,United States,Olympic wrestler
Frank Terletzki,Germany,German footballer
Martyn Woodroffe,United Kingdom,Swimmer
Nijolė Sabaitė,Soviet Union,Athletics (sport) competitor
Horst Hagen,Germany,Volleyball
Sabine Dähne,,Rower
Werner Lampe,Germany,Olympic swimmer
Werner Peter,Germany,German footballer
Wiesław Hartman,,Equestrian
José Ramón López,,Canoe racer
István Tóth (wrestler),Hungary,Olympic wrestler
János Rátkai,,Canoe racer
József Deme,,Canoe racer
Tineke Bartels,,Equestrian
Małgorzata Dłużewska,,Rower
Wolfgang Maibohm,Germany,Volleyball
Yuri Kondakov,,Speed skater
Yuri Lebedev,Soviet Union,Ice Hockey
Dick Tonks,,Rower
Roland Collombin,Switzerland,Alpine skier
Michael Hart (rower),United Kingdom,British Olympic rower
Michael R. Matz,United States,Equestrian
Michiko Shiokawa,,Volleyball
Mike Bantom,United States,Basketball
Mike Sylvester,,Basketball
Milan Nový,Czechoslovakia,Ice Hockey
Mira Bryunina,,Rower
Miroslav Dvořák (ice hockey),Czechoslovakia,Ice Hockey
Helga Lindner,,Swimmer
Leah Poulos,United States,Speed skater
Marie Sýkorová,,Olympic medalist
James Wilkinson (sailor),,Sailor
Jarmila Kratochvílová,,Athletics (sport) competitor
Einar Sagstuen,,Cross-country skier
John Kolius,,Sailor
Kapka Georgieva,,Rower
Barbara Czekalla,Germany,Volleyball
Anne Grethe Jensen,Denmark,Danish equestrian
Oddvar Brå,,Cross-country skier
Raelene Boyle,Australia,Australian sprinter
Ramaz Kharshiladze,Soviet Union,Judoka
Regine Heitzer,,Figure skater
Piotr Mowlik,Poland,Polish footballer
Aleksandr Makarov (athlete),,Athletics (sport) competitor
Aleksey Spiridonov,Soviet Union,Athletics (sport) competitor
Danny Clark (cyclist),Australia,Australian racing cyclist
David Maxwell (rower),United Kingdom,Olympic silver medalist
Georgi Todorov (weightlifter),,Weightlifter
Gilberto Carrillo,Cuba,Boxer
Nadezhda Chernyshova,,Rower
Calvin Coffey,United Kingdom,Olympic medalist in rowing
Vladimir Lovetskiy,Soviet Union,Soviet sprinter
Vladimir Ulanov,Russia,Volleyball
Walter Steiner,,Ski jumper
Jim Brewer (basketball),United States,Basketball
Andreas Schulz,Germany,Rower
Andrew Justice,United Kingdom,Rower
Andrzej Gronowicz,Poland,Polish canoeist
Fabrizio Della Fiori,,Basketball
Norbert Sattler,Austria,Canoe racer
Hristo Iliev (volleyball),,Volleyball
Christine Laser,Cameroon,East german pentathlete
Christine Mummhardt,Germany,Volleyball
Charles Mooney,,Boxer
Clyde Sefton,Australia,Australian racing cyclist
Karl-Hans Riehm,Germany,German hammer thrower
Karla Roffeis,Germany,Volleyball
Keith Remfry,United Kingdom,Judoka
Kevin Joyce (basketball),United States,Basketball
Žarko Varajić,,Basketball
Jörg Pfeifer,Germany,German sprinter
Jaime Arbós,,Field hockey
Tom Henderson,Puerto Rico,Basketball
Mac Cone,United States,Canadian show jumper
Guy Evéquoz,,Fencer
Hanns Jana,Germany,German fencer
Wojciech Rudy,Poland,Polish footballer
Yuriy Kutsenko,Soviet Union,Soviet decathlete
Yuriy Shapochka,,Rower
Yves Pajot,,Sailor
Gabriele Badorek,,Handball
Pedro Millet,,Sailor
Dimitar Dimitrov (volleyball),,Volleyball
Rolf Österreich,Germany,German pair skater
Roman Ogaza,Poland,Polish footballer
Mike McLeod,England,British distance runner
Mircea Grabovschi,,Handball
Tommy Burleson,Puerto Rico,Basketball
Simion Cuţov,,Boxer
Helmuts Balderis,Soviet Union,Ice Hockey
Henrik Flöjt,Finland,Olympic biathlete
Květa Petříčková,,Olympic medalist
Lajos Rácz,Hungary,Olympic wrestler
James Forbes (basketball),,Basketball
Jaroslav Pouzar,Czechoslovakia,Ice Hockey
Dwight Jones (basketball),United States,Basketball
Juan Arbós,,Field hockey
Barry Dancer,,Field hockey
Annegret Kroniger,Germany,German sprinter
Olga Mineyeva,Soviet Union,Soviet middle-distance runner
Pat Summitt,United States,Basketball
Ric Charlesworth,Australia,Field hockey
Petra Grabowsky,,Canoe racer
Pierluigi Marzorati,,Basketball
Aleksandr Golikov,Soviet Union,Ice Hockey
Aleksey Kamkin,Russia,Rower
David Jenkins (athlete),,Athletics (sport) competitor
Debra Sapenter,United States,American sprinter
Nadiya Rozhon,,Rower
Bernd Jakubowski,Germany,German footballer
Jiří Králík,,Ice Hockey
Joachim Griese,,Sailor
Joan Lind,United States,Olympic medalist in rowing
Ana Titlić,,Handball
Andrzej Supron,,Olympic wrestler
Charles Thomas McMillen,United States,NULL
Cheryl Toussaint,,Athletics (sport) competitor
Christina Voß,,Handball
Carlo Montano,Italy,Italian fencer
Jorge Llopart,,Athletics (sport) competitor
José García (field hockey),Spain,Field hockey
Karen Magnussen,United States,Figure skater
Irene Abel,Germany,Gymnast
Iskra Velinova,Bulgaria,Rower
István Joós,,Canoe racer
Jørn Didriksen,,Speed skater
Jürgen Heuser,Germany,German Olympic weightlifter
Jürgen Straub,Germany,German middle distance runner
Elvira Possekel,Germany,German sprinter
Ernő Kolczonay,Hungary,Fencer
Terry Walsh,,Field hockey
Tim McKee,United States,American swimmer Olympic silver medalist
Lucinda Green,United Kingdom,British equestrian
Lyubov Talalaeva,,Rower
Greg Browning,,Field hockey
Greg Gibson (wrestler),United States,Olympic wrestler
Grete Waitz,Norway,Athletics (sport) competitor
Guido Kratschmer,,Athletics (sport) competitor
Wolfgang Löwe,Germany,Volleyball
Yordan Angelov,,Volleyball
Yuri Yakimov,Russia,Russian rower
Gabriela Svobodová,,Cross-country skier
Gary MacDonald (swimmer),Canada,Swimmer
Peter-Michael Kolbe,Germany,Rower
Rudolf Lochner,,Bobsledder
Milan Chalupa,Czechoslovakia,Ice Hockey
Tommaso Montano,Italy,Italian fencer
Umberto Panerai,,Water polo player
Urban Hettich,Germany,German Nordic combined skier
Valentina Zhulina,Soviet Union,Soviet rower
Silvia Siefert,,Handball
Marc Pajot,France,Sailor
Marco Romano,Italy,Italian fencer
Jamtsyn Davaajav,,Olympic wrestler
Javier Cabot,,Field hockey
Jay Glaser,,Sailor
Eberhard Weise,,Bobsledder
Béla Várady,Hungary,Footballer
Olena Zubko,Ukraine,Ukrainian rower
Reni Yordanova,Bulgaria,Bulgarian rower
Pyotr Zayev,Soviet Union,Soviet boxer
Alain Lebas,,Canoe racer
Richard McKinney (archer),United States,Archer
Suleiman Nyambui,Tanzania,Athletics (sport) competitor
Evelyn Kaufer,Germany,German sprinter
Daniel Senet,,Weightlifter
Bruce Ibbetson,United States,Former American Olympic rower.
Vladimir Kovalev,,Figure skater
Jochen Danneberg,,Ski jumper
Liane Michaelis,,Handball
Filbert Bayi,,Athletics (sport) competitor
Herman Ponsteen,Netherlands,Dutch racing cyclist
Hristo Stoyanov,,Volleyball
Ilse Kaschube,Germany,Canoe racer
Sabine Jahn,,Rower
Sabirzhan Ruziyev,Kyrgyzstan,Fencer
Kay Stenshjemmet,Norway,Speed skater
Irina Ushakova,Belarus,Fencer
Jacqueline Todten,Germany,German javelin thrower
Timothy Grubb,United Kingdom,Equestrian
Graham Windeatt,,Swimmer
Wolfgang Steinbach,Germany,German footballer
Zenon Licznerski,Poland,Polish sprinter
Zoltán Sztanity,,Canoe racer
Fred Borchelt,United States,Former American Olympic rower and Olympic silver medalist.
Gabriele Wetzko,,Swimmer
Per Knut Aaland,Norway,Norwegian cross country skier
Ryszard Podlas,Poland,Polish sprinter
Michel Vaillancourt,Canada,Equestrian
Mircea Şimon,,Boxer
Ute Rührold,,Luger
Sixto Soria,,Boxer
Mariyka Modeva,,Rower
Jan Dołgowicz,,Olympic wrestler
Juan Antonio Corbalán,Spain,Basketball
Juris Bērziņš,,Rower
Anke Westendorf,,Volleyball
Antonio Gorostegui,,Sailor
Ramón Duvalón,Cuba,Boxer
Randy Smyth,United States,American Olympic Sailor
Reinhard Krull,,Field hockey
Pyotr Pochinchuk,Belarus,Belarusian racewalker
Rüdiger Schnuphase,Germany,German footballer
Alejandro Casañas,,Athletics (sport) competitor
Aleksandr Kulagin,Russia,Soviet rower
Alexander Thieme,Germany,German sprinter
Alfonso Zamora,Mexico,Mexican boxer
Evgeni Barbakov,,Rower
Ginka Gyurova,,Rower
Nadezhda Roshchina,,Rower
Natalia Kushnir,Russia,Volleyball
Natalya Butuzova,Soviet Union,Archer
Blanka Paulů,,Cross-country skier
Bo Gustafsson,,Athletics (sport) competitor
Brigitte Totschnig,Alps,Alpine skier
Vesna Radović,,Handball
Vincent Lukáč,Czechoslovakia,Ice Hockey
Władysław Żmuda,Poland,Polish footballer
Jiřina Hájková,,Olympic medalist
Allan Whitwell,United Kingdom,Rower
Flo Hyman,United States,Volleyball
Matthias Müller (footballer),Germany,German footballer
Nelli Tarakanova,,Rower
Nicuşor Eşanu,,Canoe racer
Nonka Matova,,Sport shooter
Ian Stark,,Equestrian
Ida Hubáčková,,Olympic medalist
Aivars Lazdenieks,,Rower
Carlos Girón,,Diver
John Sumegi,,Canoe racer
José María Esteban,,Canoe racer
József Balla,Hungary,Hungarian wrestler
Lusia Harris,United States,Basketball
Mable Fergerson,,Athletics (sport) competitor
Malcolm McGowan,United Kingdom,Rower
Pedro Gamarro,Venezuela,Boxer
Dianne de Leeuw,United States,Dutch figure skater and coach
Miguel Chaves,,Field hockey
Sergey Khlebnikov,Russia,Speed skater
Silvio Leonard,Cuba,Cuban sprinter
Steve Gregg,United States,American swimmer Olympic silver medalist
Henry Clay (rower),United Kingdom,Olympic medalist
Klaus-Dieter Kurrat,Germany,German sprinter
Krisztina Regőczy,,Figure skater
Markus Fuchs (equestrian),,Equestrian
Markus Ryffel,,Athletics (sport) competitor
Jan Hoffmann,Germany,German figure skater
Jane Bidstrup,,Curler
Janusz Bobik,,Equestrian
Joe Bottom,United States,American swimmer Olympic gold medalist former world record-holder
Joseph Mahmoud,France,French athlete
Juan Giha,Chile,Sport shooter
Juan Pellón,,Field hockey
Aurora Dan,Romania,Fencer
Ann Meyers,,Basketball
Anna Kondrachina,,Rower
Olga Rukavishnikova,Soviet Union,Soviet pentathlete
Olha Kolkova,,Rower
Pamela Jiles,United States,American sprinter
Renato Villalta,,Basketball
Renzo Vecchiato,,Basketball
Petra Boesler,,Rower
Aleksey Zhuk,Soviet Union,Handball
Rick Mitchell,Canada,Australian sprinter
Robert Kabbas,,Weightlifter
Tengiz Khubuluri,Soviet Union,Judoka
David Bell (field hockey),United States,Field hockey
David Krmpotich,United States,Olympic medalist in rowing
David Ottley,United Kingdom,British athlete
Gerard Nijboer,Belgium,Athletics (sport) competitor
Gisela Grothaus,Germany,Canoe racer
Giuseppe Martinelli,Italy,Italian racing cyclist
Mykola Dovhan,,Rower
Björne Väggö,Sweden,Swedish fencer
Brigitte Wujak,Germany,German long jumper
Vesna Milošević,,Handball
Jerzy Pietrzyk,Poland,Polish sprinter
András Sallay,,Figure skater
Andrew McDonald (water polo),,Water polo player
Leszek Swornowski,Poland,Polish fencer
Lilyana Vaseva,,Rower
Lisa Rohde,United States,Former American Olympic rower.
Lothar Hause,Germany,German footballer
Frank Uhlig,Germany,German footballer
Nikolina Shtereva,Bulgaria,Bulgarian middle distance runner
Imrich Bugár,,Athletics (sport) competitor
Chip Lubsen,United States,Former American Olympic rower.
Claudia Giordani,Alps,Alpine skier
Samuel Schatzmann,,Olympic medalist in equestrian
Camille Wright,United States,American swimmer Olympic silver medalist
Czesław Lang,Poland,Racing cyclist Tour de Pologne organiser
John Stillings,United States,Former American Olympic rower.
John Whitaker (equestrian),United Kingdom,International show jumper
Josep Maria Margall,Spain,Basketball
Kaspar Simeonov,,Volleyball
Jaime Zumalacárregui,Spain,Spanish hockey player
Elke Drüll,Germany,Olympic medalist
Timothy McLaren,,Rower
Luis María Lasúrtegui,Spain,Olympic rower
Greg Joy,,Athletics (sport) competitor
Gary Figueroa,,Water polo player
Dieter Kühn,Germany,German footballer
Romy Kermer,Germany,German pair skater
Rosalyn Bryant,United States,American sprinter
Mike Tully,United States,American pole vaulter
Véronique Trinquet,,Fencer
Stefan Dimitrov (volleyball),,Volleyball
Heiner Dopp,,Field hockey
Laimutė Baikauskaitė,,Athletics (sport) competitor
Marcela Moldovan-Zsak,Romania,Fencer
Margaret Kelly (swimmer),,Swimmer
Marian Woronin,Poland,Polish sprinter
John Bertrand (American sailor),,Sailor
Barbara Krug,Germany,German sprinter
Odd Lirhus,Norway,Norwegian biathlete
Olga Pivovarova,Soviet Union,Soviet rower
Olha Huzenko,,Rower
Rafael Garralda,,Field hockey
Phillip Stekl,United States,Former American Olympic rower.
Albert Voorn,,Equestrian
Tadija Kačar,,Boxer
Tatiana Korshunova,Soviet Union,Canoe racer
Terry McLaughlin,,Sailor
Evgeni Duleev,,Rower
Mitko Todorov,,Volleyball
Mohamed Ali Rashwan,,Judoka
Nadezhda Prishchepa,Soviet Union,Soviet rower
Brigitte Fetzer,Germany,Volleyball
Vladimir Repev,Soviet Union,Handball
Leszek Dunecki,,Athletics (sport) competitor
Frank Baum (footballer),Germany,German footballer
Frank Paschek,Germany,German long jumper
Nina Preobrazhenskaya,Soviet Union,Soviet rower
Nina Umanets,Soviet Union,Soviet rower
Hipólito Ramos,Cuba,Boxer
Hiroshi Michinaga,,Archer
Christian Bassemir,,Field hockey
Christiane Wartenberg,Germany,German middle distance runner
Santiago Malgosa,,Field hockey
Cathy Priestner,,Speed skater
Kari Eloranta,Finland,Ice Hockey
Ken Tralnberg,,Curler
Elizabeth Craig (rower),,Rower
Enrico Gilardi,,Basketball
Erkki Laine,Finland,Ice Hockey
Tim Shaw (swimmer),United States,American swimmer water polo player Olympic silver medalist Sullivan Award winner
Yave Cahard,France,Racing cyclist
Paweł Skrzecz,Poland,Polish boxer
Diana Clapham,United Kingdom,Olympic medalists in equestrian
Doug Burke (water polo),,Water polo player
Roman Bierła,,Olympic wrestler
Michel Vaarten,Belgium,cyclist
Mike Dodd,United States,Volleyball
Milan Janić,,Canoe racer
Milton Cruz,Brazil,Brazilian footballer
Tricia Smith,,Rower
Tsendiin Damdin,,Judoka
Sheila Ingram,United States,American sprinter
Slavica Jeremić,,Handball
Steve Pickell,Canada,Swimmer/Diver
Kjell Søbak,Norway,Norwegian biathlete
Lars-Erik Moberg,,Canoe racer
Lauri Siering,United States,American swimmer Olympic silver medalist
Laurie Corbelli,United States,Volleyball
Manuela Groß,Germany,German pair skater
Marco Bonamico,,Basketball
Jana Lahodová,,Olympic medalist
Artur Ullrich,Germany,East German footballer
Aneta Mihaly,,Rower
Annette Schultz,,Volleyball
Artūrs Garonskis,,Rower
Peter Rocca,United States,American swimmer Olympic silver medalist former world record-holder
Petre Capusta,,Canoe racer
Albán Vermes,,Swimmer
Alena Kyselicová,Czech Republic,Field hockey
Alfonso de Iruarrizaga,,Sport shooter
Richard Stanhope,United Kingdom,Rower
Rita Crockett,United States,Volleyball
Robert Billingham,,Sailor
Susan Woodstra,United States,Volleyball
Tatyana Stetsenko,Soviet Union,Soviet rower
David Grylls,United States,American racing cyclist
Bernard Rajzman,,Volleyball
Birgit Hagen,,Olympic medalist
Bodo Rudwaleit,Germany,German footballer
Vasyl Arkhypenko,Ukraine,Ukrainian hurdler
Viktor Diduk,Soviet Union,Soviet rower
Walter Glasgow,United States,Olympic sailor
Li Yuejiu,China,Chinese gymnast
Linda Chisholm,United States,Volleyball
Norbert Trieloff,Germany,German footballer
Horst-Ulrich Hänel,,Field hockey
Charlotte Geer,United States,Olympic medalist in rowing
Sabine John,Germany,German heptathlete
Adolfo Horta,Cuba,Boxer
Coby van Baalen,,Equestrian
Craig Wilson (water polo),,Water polo player
John Pritchard (rower),United Kingdom,Olympic medalist
John Terwilliger,United States,Former American Olympic rower.
John Treacy,,Athletics (sport) competitor
Jorge Luís Andrade,Brazil,Brazilian footballer and manager
Joseph Atiyeh,,Olympic wrestler
Kathy McMillan,United States,American long jumper
Žoržs Tikmers,,Rower
Ingo Voge,Germany,Bobsledder
Jürgen Hingsen,Germany,Athletics (sport) competitor
Ellen Bontje,,Equestrian
Etienne De Wilde,Belgium,Road bicycle racer
Thomas Kiefer,United States,Former American Olympic rower.
Thomas Ohlsson,,Canoe racer
Tobias Frank,,Olympic medalist
Tom Darling,United States,Former American Olympic rower.
Gregory Boyer,,Water polo player
Guillermo del Riego,,Canoe racer
Wolfgang Mayrhofer,,Olympic yacht racer
Yuri Pimenov,United States,Rower
Zorica Vojinović,,Handball
Gabriele Löwe,Germany,German sprinter
Gaby Appel,,Olympic medalist
Garry Cook,United Kingdom,British athlete
Gary Gullock,,Rower
Gennadi Kryuçkin,,Rower
Patrick Lefoulon,,Canoe racer
Paulino Monsalve,,Field hockey
Per-Inge Bengtsson,,Canoe racer
Milada Blažková,,Olympic medalist
Valeri Kleshnyov,,Rower
Sergei Shakhrai,Soviet Union,Russian pair skater
Shirley Strong,,Athletics (sport) competitor
Kjerstin Andersen,,Handball
Klaus Thiele,Germany,German sprinter
Larisa Tsagarayeva,Russia,Fencer
Marco Solfrini,Italy,Basketball
Jan Shearer,New Zealand,Sailor
Dzintars Krišjānis,,Rower
Angella Taylor-Issajenko,,Athletics (sport) competitor
Anne Marden,United States,Olympic medalist in rowing
Peter Wirnsberger,Alps,Alpine skier
Petko Petkov (volleyball),,Volleyball
Piotr Jabłkowski,Poland,Polish fencer
Rita Todorova,,Rower
Stoyan Gunchev,,Volleyball
Debbie Green-Vargas,South Korea,Volleyball
Nancy Lieberman,,Basketball
Birgit Hahn,,Olympic medalist
Bobby Lohse,,Sailor
Viktor Demyanenko,Soviet Union,Boxer
Viktor Omelyanovich,Soviet Union,Soviet rower
Viktor Pereverzev,,Rower
Virginia Gilder,United States,Former American Olympic rower
Vladimir Belov (handballer),Soviet Union,Handball
Vladimir Shkurikhin,Russia,Volleyball
Jiří Hrdina,Czechoslovakia,Ice Hockey
Amadou Dia Ba,,Athletics (sport) competitor
Andrea Weiermann-Lietz,,Olympic medalist
Andrew Rein,United States,Olympic wrestler
Fernando Climent,Spain,Olympic rower
France Saint-Louis,Canada,Ice Hockey
Francesco Damiani,Italy,Boxer
Matthias Liebers,Germany,German footballer
Melitta Sollmann,Germany,Luger
Neil Adams (judoka),United Kingdom,Judoka
Nikolay Pimenov,United States,Rower
Ian Peel,,Sport shooter
Ignacio Solozábal,,Basketball
Sally Clark (equestrian),,Equestrian
Carlos Roca (field hockey),,Field hockey
Carolyn Becker,United States,Volleyball
Curt Giles,Canada,Ice Hockey
Dagmar Švubová,,Cross-country skier
Daniel Adler,Brazil,Brazilian sailor
Karin Püschel,Germany,Volleyball
Karin Singstad,,Handball
Kim Ok-Hwa,,Handball
Ion Geantă,,Canoe racer
Erika Géczi,,Canoe racer
Thomas Gunst,,Field hockey
Timo Susi,Finland,Ice Hockey
Ludomir Chronowski,Poland,Polish fencer
Lutz Hoffmann,Germany,Gymnast
Héctor Herrera,,Athletics (sport) competitor
Peter Carruthers (figure skater),United States,Figure skater
Dhawee Umponmaha,Thailand,Thai boxer; silver medallist 1984 Summer Olympics
Rolf Storsveen,Norway,Norwegian biathlete
Michael Marcour,,Sailor
Miroslav Šimek,,Canoe racer
Uwe Madeja,,Canoe racer
Sergey Mindirgasov,Soviet Union,Fencer
Serik Konakbayev,Soviet Union,Boxer
Sigrid Landgraf,,Olympic medalist
Steve Bauer,Canada,Canadian racing cyclist
Krzysztof Zwoliński,Poland,Polish sprinter
Laurent Vial,Switzerland,Swiss racing cyclist
Marilyn Brain,,Rower
Marin Gheorghe,,Rower
Mariusz Strzałka,Poland,Fencer
Duncan McDougall (rower),United Kingdom,Rower
Juan Antonio San Epifanio,Spain,Basketball
Juan Coghen,,Field hockey
Jukka Virtanen (ice hockey),Finland,Ice Hockey
Julie Vollertsen,United States,Volleyball
Angela Schneider,,Rower
Anne Kursinski,United States,Equestrian
Arnold Kadlec,Czech Republic,Ice Hockey
Oleksandr Sorokalet (volleyball),Ukraine,Volleyball
Radmila Drljača,,Handball
Philippe Delrieu,France,French fencer
Alain Bondue,France,French racing cyclist
Aleksandr Koshkyn,Soviet Union,Boxer
Alfred Achermann,Switzerland,Swiss racing cyclist
Roberto Brunamonti,,Basketball
David Clark (rower),,Rower
Gilmar Rinaldi,Brazil,Brazilian footballer
Molly Killingbeck,,Athletics (sport) competitor
Nadiya Filipova,,Rower
Bert Cameron,,Athletics (sport) competitor
Bobby Hackett (swimmer),United States,American swimmer Olympic silver medalist former world record-holder
Brian Peaker,,Rower
Viktor Miroshnichenko,Soviet Union,Boxer
Vladimir Lapitsky,Belarus,Fencer
Vladimir Nikitin,,Cross-country skier
Jiří Lála,Czechoslovakia,Ice Hockey
Andreas Trautmann,Germany,German footballer
Andrzej Lis,Poland,Polish fencer
Lenka Vymazalová,,Olympic medalist
Ferenc Hegedűs,Hungary,Fencer
Fernando Romay,,Basketball
Martina Hallmen,,Olympic medalist
Hortência Marcari,,Basketball
Cheryl Gibson,Canada,Swimmer
Chris Mahoney (rower),United Kingdom,Rower
Chris Steinfeld,United States,Sailor
Christin Cooper,United States,Alpine skier
Saida Gunba,,Athletics (sport) competitor
Sam St. Laurent,Canada,Ice Hockey
Wendy Smith-Sly,United Kingdom,British athlete
Cornelia Linse,,Rower
Czesława Kościańska,,Rower
Dárius Rusnák,Czechoslovakia,Ice Hockey
José Luis Llorente,,Basketball
José Manuel Beirán,,Basketball
Katharina Bullin,Germany,Volleyball
Kelly Rickon,United States,Former American Olympic rower.
Kevin Barry (boxer),Denmark,New Zealand boxer
Kevin Robertson,,Water polo player
Jacques Demers (weightlifter),,Weightlifter
Tim Mayotte,United States,American tennis player
Lucia Sauca,,Rower
Hanne Hegh,,Handball
Patricia Ott,,Olympic medalist
Pekka Tuomisto,Finland,Ice Hockey
Per Carlén,,Handball
Peter Campbell (water polo),,Water polo player
Peter Holmberg,,Sailor
Peter Leone,United States,Olympic medalist in equestrian
Dimants Krišjānis,,Rower
Don Bartlett,Canada,Curler
Douglas Kimbell,,Water polo player
Ron Boudrie,Netherlands,Volleyball
Rose Magers,United States,Volleyball
Michael Bach (rower),United States,Former American Olympic rower.
Michael Carter (athlete),United States,American football player
Michael Whitaker,,Equestrian
Mike McFarlane,England,English sprinter
Tulio Díaz,,Fencer
Ursula Thielemann,,Field hockey
Sergey Belyayev,,Sport shooter
Sergey Danilin,Russia,Russian luger
Sergey Koryashkin,Soviet Union,Fencer
Stefan Blöcher,,Field hockey
Steve Cram,England,British middle distance runner
Henry Stöhr,,Judoka
Konstantin Volkov (athlete),Russia,Soviet/Russian pole vaulter
Mariana Constantin,,Gymnast
Marita Payne,Barbados,Athletics (sport) competitor
Marta Urbanová,,Olympic medalist
Dušan Pašek,Czechoslovakia,Ice Hockey
Edmar Bernardes,Brazil,Brazilian footballer and manager
Juha Hirvi,,Sport shooter
Kai Suikkanen,Finland,Ice Hockey
Reijo Ruotsalainen,Finland,Ice Hockey
Renan Dal Zotto,,Volleyball
Alan Forney,Malaysia,American Olympic rower
Alan Mouchawar,,Water polo player
Aleksandr Panfilov,Soviet Union,Soviet racing cyclist
Alexander Batyuk,,Cross-country skier
Susanne Schmid,,Olympic medalist
Bernardo Piñango,,Boxer
Bettina Schmidt,Germany,Luger
Vali Ionescu,,Athletics (sport) competitor
Vasily Tikhonov,Soviet Union,Soviet rower
Viera Podhányiová,,Olympic medalist
Jeung Soon-Bok,,Handball
Jody Campbell,,Water polo player
András Rajna,,Canoe racer
Andreas Knebel,Germany,German sprinter
Andrey Alshan,Azerbaijan,Fencer
Linda Fratianne,,Figure skater
Linda Jezek,United States,American swimmer Olympic silver medalist former world record-holder former world champion
Lisa Martin,Australia,Australian long distance runner
Fernando Arcega,,Basketball
Martina Schmidt,Germany,Volleyball
Matthias Gey,Germany,Fencer
Necmi Gençalp,Turkey,Olympic wrestler
Hubert Neuper,,Ski jumper
Chiang Tai-Chuan,,Baseball player
Christina Moser,,Olympic medalist
Ademir Roque Kaefer,Brazil,Association footballer
Carina Ljungdahl,,Swimmer
Corinna Lingnau,,Olympic medalist
Karl-Joachim Hürter,,Olympic medalist
Keith Notary,,Sailor
Kent-Olle Johansson,,Olympic wrestler
Željko Obradović,Yugoslavia,Basketball
Jörg Schmidt,,Canoe racer
Eva Karlsson,,Canoe racer
Tiina Lillak,Finland,Finnish javelin thrower
Timo Blomqvist,Finland,Ice Hockey
Manfred Deckert,Germany,German ski jumper
Grace Jackson,,Athletics (sport) competitor
Gregory Springer,United States,Former American Olympic rower.
Yurik Sarkisyan,Armenia,Weightlifter
Patrick McDonough (cyclist),United States,American racing cyclist
Paul Reedy,,Rower
Devon Morris,Jamaica,Jamaican sprinter
Dirk Crois,,Rower
Rolf Thorsen,,Rower
Michael Paul (handballer),,Handball
Miguel de Paz,,Field hockey
Miran Tepeš,,Ski jumper
Tommy Karls,,Canoe racer
Tong Fei,,Olympic artistic gymnast
Ulf Hoffmann,Germany,Gymnast
Ute Kostrzewa,Germany,Volleyball
Hans Wallén,,Sailor
Kitty Carruthers,United States,Figure skater
Kristin Midthun,,Handball
Lance Deal,,Athletics (sport) competitor
James Bergeson,,Water polo player
